problem_typ,reynolds,fr
selection,56,0.2840
selection,66,0.3200
selection,79,0.3600
selection,94,0.4000
selection,110,0.4400
selection,130,0.4800
selection,154,0.5200
selection,188,0.5600
selection,230,0.6000
selection,278,0.6400
selection,340,0.6800
selection,471,0.7200
selection,620,0.7600
selection,980,0.8000
selection,1560,0.8400
selection,2470,0.8800
selection,4600,0.9200
selection,10200,0.9600
selection,40000,1.0000
flow,106,0.2840
flow,117,0.3200
flow,132,0.3600
flow,149,0.4000
flow,167,0.4400
flow,188,0.4800
flow,215,0.5200
flow,253,0.5600
flow,298,0.6000
flow,351,0.6400
flow,416,0.6800
flow,556,0.7200
flow,720,0.7600
flow,1100,0.8000
flow,1690,0.8400
flow,2660,0.8800
flow,4800,0.9200
flow,10400,0.9600
flow,40000,1.0000
pressure,30,0.2840
pressure,38,0.3200
pressure,48,0.3600
pressure,59,0.4000
pressure,74,0.4400
pressure,90,0.4800
pressure,113,0.5200
pressure,142,0.5600
pressure,179,0.6000
pressure,224,0.6400
pressure,280,0.6800
pressure,400,0.7200
pressure,540,0.7600
pressure,870,0.8000
pressure,1430,0.8400
pressure,2300,0.8800
pressure,4400,0.9200
pressure,10000,0.9600
pressure,40000,1.0000
